Year/Course,Term,Unit,Block,Small Step,DF Topic Refs,DF Topic Names (review)
Year 7,Spring,Application of Number,Multiplication and Division,Use formal methods to divide decimals,124;125,Dividing a decimal (up to 2dp) by an integer | Dividing by decimal numbers
Year 7,Spring,Application of Number,Multiplication and Division,Understand and use order of operations,115,Order of operations (no powers and roots)
Year 7,Spring,Application of Number,Multiplication and Division,Solve problems using the area of rectangles and parallelograms,138;139,Area of a rectangle by using the formula | Area of a parallelogram
Year 7,Spring,Application of Number,Multiplication and Division,Solve problems using the area of triangles,140,Area of a triangle
Year 7,Spring,Application of Number,Multiplication and Division,Solve problems using the area of trapezia,184,Area of trapeziums
Year 7,Spring,Application of Number,Multiplication and Division,Solve problems using the mean,132,Mean as an average
Year 7,Spring,Application of Number,Multiplication and Division,Explore multiplication and division in algebraic expressions,,
Year 7,Spring,Fractions and Percentages of Amounts,Fractions & Percentages of Amounts,Find a fraction of a given amount,57,Fractions of an amount
Year 7,Spring,Fractions and Percentages of Amounts,Fractions & Percentages of Amounts,Use a given fraction to find the whole and/or other fractions,,
Year 7,Spring,Fractions and Percentages of Amounts,Fractions & Percentages of Amounts,Find a percentage of a given amount using mental methods,130,"Calculating a simple percentage of an amount, using chunking"
Year 7,Spring,Fractions and Percentages of Amounts,Fractions & Percentages of Amounts,Find a percentage of a given amount using a calculator,218;219,"Percentage of an amount, by multiplying by an equivalent fraction | Percentage of an amount, using decimal multipliers"
Year 7,Spring,Fractions and Percentages of Amounts,Fractions & Percentages of Amounts,Solve problems with fractions greater than 1 and percentages greater than 100%,217,"Percentage of an amount, greater than 100%, by chunking"
Year 7,Spring,Directed Number,Directed Number,Understand and use representations of directed numbers,85,Counting up and down with negative numbers
Year 7,Spring,Directed Number,Directed Number,Order directed numbers using lines and appropriate symbols,86,Comparing and ordering positive and negative numbers
Year 7,Spring,Directed Number,Directed Number,Perform calculations that cross zero,87,Using negative numbers in context
Year 7,Spring,Directed Number,Directed Number,Add directed numbers,155,Adding or subtracting a mixture of positive and negative numbers
Year 7,Spring,Directed Number,Directed Number,Subtract directed numbers,155,Adding or subtracting a mixture of positive and negative numbers
Year 7,Spring,Directed Number,Directed Number,Multiplication of directed numbers,156,Multiplying or dividing a mixture of positive and negative numbers
Year 7,Spring,Directed Number,Directed Number,Multiplication and division of directed numbers,156,Multiplying or dividing a mixture of positive and negative numbers
Year 7,Spring,Directed Number,Directed Number,Use a calculator for directed number calculations,,
Year 7,Spring,Directed Number,Directed Number,Evaluate algebraic expressions with directed number,197,"Substitution with decimals, negative integers and fractions"
Year 7,Spring,Directed Number,Directed Number,Introduction to two-step equations,199,Solving linear equations where the variable appears on one side of the equation only
Year 7,Spring,Directed Number,Directed Number,Solve two-step equations,199,Solving linear equations where the variable appears on one side of the equation only
Year 7,Spring,Directed Number,Directed Number,Use order of operations with directed numbers,115,Order of operations (no powers and roots)
Year 7,Spring,Directed Number,Directed Number,Roots of positive numbers,157,Roots and further powers
Year 7,Spring,Directed Number,Directed Number,Explore higher powers and roots,157;200;258,Roots and further powers | Solving equations involving integer powers and their roots as inverses | Solving equations involving integer powers or roots
Year 7,Spring,Fractional Thinking,Fractional Thinking,Understand representations of fractions,,
Year 7,Spring,Fractional Thinking,Fractional Thinking,Convert between mixed numbers and fractions,101,Converting between mixed numbers and improper fractions
Year 7,Spring,Fractional Thinking,Fractional Thinking,Add and subtract unit fractions with the same denominator,56,Adding and subtracting fractions with the same denominator
Year 7,Spring,Fractional Thinking,Fractional Thinking,Add and subtract fractions with the same denominator,56,Adding and subtracting fractions with the same denominator
Year 7,Spring,Fractional Thinking,Fractional Thinking,Add and subtract fractions from integers expressing the answer as a single fraction,,
Year 7,Spring,Fractional Thinking,Fractional Thinking,Understand and use equivalent fractions,98;99;116,Fractional equivalence using factors and multiples | Comparing and ordering fractions where the denominators are multiples of each other | Comparing and ordering fractions with different denominators.
Year 7,Spring,Fractional Thinking,Fractional Thinking,Add and subtract fractions where denominators share a simple common multiple,100;103,Adding and subtracting fractions where the denominators are multiples of each other | Adding and subtracting mixed numbers where one denominator is a multiple of another
Year 7,Spring,Fractional Thinking,Fractional Thinking,Add and subtract fractions with any denominator,117,Adding and subtracting fractions with any denominator
Year 7,Spring,Fractional Thinking,Fractional Thinking,Add and subtract improper fractions and mixed numbers,118;102,Adding and subtracting mixed numbers with different denominators | Adding and subtracting mixed numbers with the same denominator
Year 7,Spring,Fractional Thinking,Fractional Thinking,Use fractions in algebraic contexts,,
Year 7,Spring,Fractional Thinking,Fractional Thinking,Use equivalence to add and subtract decimals and fractions,,
Year 7,Spring,Fractional Thinking,Fractional Thinking,Add and subtract simple algebraic fractions,,
Year 7,Summer,Lines and Angles,Construction and Measuring,Understand and use letter and labelling conventions for geometric figures,179,Geometric notation for shapes and lines
Year 7,Summer,Lines and Angles,Construction and Measuring,Draw and measure line segments including geometric figures,137,Drawing 2D shapes to scale given dimensions and angles
Year 7,Summer,Lines and Angles,Construction and Measuring,Understand angles as a measure of turn,76,Types of angle
Year 7,Summer,Lines and Angles,Construction and Measuring,Classify angles,76,Types of angle
Year 7,Summer,Lines and Angles,Construction and Measuring,Measure angles up to 180 degrees,109,Measuring and drawing non-reflex angles in degrees with a protractor
Year 7,Summer,Lines and Angles,Construction and Measuring,Draw angles up to 180 degrees,109,Measuring and drawing non-reflex angles in degrees with a protractor
Year 7,Summer,Lines and Angles,Construction and Measuring,Draw and measure angles between 180 and 360 degrees,111,Measuring and drawing reflex angles in degrees with a protractor
Year 7,Summer,Lines and Angles,Construction and Measuring,Identify perpendicular and parallel lines,63,"Identifying vertical, horizontal, parallel and perpendicular lines"
Year 7,Summer,Lines and Angles,Construction and Measuring,Recognise types of triangle,77;148,Types of quadrilaterals and triangles | Properties of triangle lengths
Year 7,Summer,Lines and Angles,Construction and Measuring,Recognise types of quadrilateral,77,Types of quadrilaterals and triangles
Year 7,Summer,Lines and Angles,Construction and Measuring,Identify polygons up to a decagon,78,Properties of polygons
Year 7,Summer,Lines and Angles,Construction and Measuring,Construct triangles using SSS,286,Drawing and constructing triangles
Year 7,Summer,Lines and Angles,Construction and Measuring,"Construct triangles using SSS, SAS and ASA",286,Drawing and constructing triangles
Year 7,Summer,Lines and Angles,Construction and Measuring,Construct more complex polygons,137,Drawing 2D shapes to scale given dimensions and angles
Year 7,Summer,Lines and Angles,Construction and Measuring,Interpret simple pie charts using proportion,131,Pie charts with simple fractions and percentages
Year 7,Summer,Lines and Angles,Construction and Measuring,Interpret pie charts using a protractor,246,Pie charts with any proportion
Year 7,Summer,Lines and Angles,Construction and Measuring,Draw pie charts,246,Pie charts with any proportion
Year 7,Summer,Lines and Angles,Geometric Reasoning,Understand and use the sum of angles at a point,110,Sum of the angles on a straight line and angles around a point
Year 7,Summer,Lines and Angles,Geometric Reasoning,Understand and use the sum of angles on a straight line,110,Sum of the angles on a straight line and angles around a point
Year 7,Summer,Lines and Angles,Geometric Reasoning,Understand and use the equality of vertically opposite angles,147,Vertically opposite angles
Year 7,Summer,Lines and Angles,Geometric Reasoning,Know and apply the sum of angles in a triangle,149;150,Sum of angles in a triangle | Base angles of an isosceles triangle
Year 7,Summer,Lines and Angles,Geometric Reasoning,Know and apply the sum of angles in a quadrilateral,151,Sum of angles in a quadrilateral
Year 7,Summer,Lines and Angles,Geometric Reasoning,Solve angle problems using properties of triangles and quadrilaterals,149;151,Sum of angles in a triangle | Sum of angles in a quadrilateral
Year 7,Summer,Lines and Angles,Geometric Reasoning,Solve complex angle problems,110;149;151,Sum of the angles on a straight line and angles around a point | Sum of angles in a triangle | Sum of angles in a quadrilateral
Year 7,Summer,Lines and Angles,Geometric Reasoning,Find and use the angle sum of any polygon,261,Interior and exterior angles of regular and irregular polygons
Year 7,Summer,Lines and Angles,Geometric Reasoning,Investigate angles in parallel lines,262,"Alternate, corresponding and co-interior angles"
