Year/Course,Term,Unit,Block,Small Step,DF Topic Refs,DF Topic Names (review)
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Enlarge a shape by a positive integer scale factor from a point,294;295,Describing an enlargement/dilation for a positive integer scale factor | Enlarging/dilating a shape by a given positive integer scale factor
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Enlarge a shape by a positive fractional scale factor,296;297,Describing an enlargement/dilation for a positive fractional scale factor | Enlarging/dilating a shape by a positive fractional scale factor
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Enlarge a shape by a negative scale factor,376;377,Enlargement/dilation of shapes by a negative scale factor | Describing enlargements/dilations for a negative scale factor
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Work out missing sides and angles in a pair of given similar shapes,292,Determine unknown lengths in similar shapes
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Solve problems with similar triangles,292,Determine unknown lengths in similar shapes
Year 9,Summer,Reasoning with Proportion,Enlargement and Similarity,Explore ratios in right-angled triangles,321;322,Trigonometry to determine side lengths in a right-angled triangle | Trigonometry to determine angles in a right-angled triangle
Year 9,Summer,Reasoning with Proportion,Ratio and Proportion,Solve problems with direct proportion,176,Multiplicative scaling and numerical proportion relationships
Year 9,Summer,Reasoning with Proportion,Ratio and Proportion,Direct proportion and conversion graphs,178,Conversion graphs
Year 9,Summer,Reasoning with Proportion,Ratio and Proportion,Solve problems with inverse proportion,386,Algebraic direct and inverse proportion
Year 9,Summer,Reasoning with Proportion,Ratio and Proportion,Graphs of inverse relationships,386,Algebraic direct and inverse proportion
Year 9,Summer,Reasoning with Proportion,Ratio and Proportion,Solve ratio problems given the whole or a part,225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given"
Year 9,Summer,Reasoning with Proportion,Ratio and Proportion,Solve 'best buy' problems,,
Year 9,Summer,Reasoning with Proportion,Ratio and Proportion,Solve problems ratio and algebra,227,Combining ratios and proportions into a single ratio
Year 9,Summer,Rates,Rates,"Solve speed, distance and time problems without a calculator",325;326,Speed calculations for a single journey | Speed calculations for multiple journeys or a journey in stages
Year 9,Summer,Rates,Rates,"Solve speed, distance and time problems with a calculator",325;326,Speed calculations for a single journey | Speed calculations for multiple journeys or a journey in stages
Year 9,Summer,Rates,Rates,Use distance/time graphs,327,Constructing and reading distance-time graphs
Year 9,Summer,Rates,Rates,"Solve problems with density, mass and volume",328,Density
Year 9,Summer,Rates,Rates,Solve flow problems and their graphs,330,"Other compound measures (excluding speed, pressure and density)"
Year 9,Summer,Rates,Rates,Rates of change and their units,330,"Other compound measures (excluding speed, pressure and density)"
Year 9,Summer,Rates,Rates,Convert compound units,331,Convert between units for compound measures
Year 9,Summer,Probability,Probability,Single event probability,247;248,Probabilities using worded terms or placed on a number line between 0 and 1 | Theoretical probabilities using counts
Year 9,Summer,Probability,Probability,Relative frequency - include convergence,251,"Experimental probabilities, expectation and bias"
Year 9,Summer,Probability,Probability,Expected outcomes,251,"Experimental probabilities, expectation and bias"
Year 9,Summer,Probability,Probability,Independent events,353,Probability of independent and successive independent events (including tree diagrams)
Year 9,Summer,Probability,Probability,Use tree diagrams,353,Probability of independent and successive independent events (including tree diagrams)
Year 9,Summer,Probability,Probability,Use tree diagrams to solve 'without replacement' problems,354,"Successive dependent events, i.e. sampling without replacement (including tree diagrams)"
Year 9,Summer,Probability,Probability,Use diagrams to work out probabilities,355;356,Probabilities from Venn diagrams of frequencies (no set notation) | Probabilities from Venn diagrams of frequencies (using set notation)
Year 9,Summer,Algebraic Representation,Algebraic Representation,Draw and interpret quadratic graphs,366;368,Plotting quadratic graphs from a table of values | Quadratic graphs and their features
Year 9,Summer,Algebraic Representation,Algebraic Representation,"Interpret graphs, including reciprocal and piece-wise",422,Plotting reciprocal graphs
Year 9,Summer,Algebraic Representation,Algebraic Representation,Investigate graphs of simultaneous equations,275,Solving linear simultaneous equations/systems of equations using graphical methods
Year 9,Summer,Algebraic Representation,Algebraic Representation,Represent inequalities,456,"Inequalities in two variables, including their representation on a plane."
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Enlarge a shape by a positive integer scale factor,294;295,Describing an enlargement/dilation for a positive integer scale factor | Enlarging/dilating a shape by a given positive integer scale factor
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Enlarge a shape by a fractional scale factor,296;297,Describing an enlargement/dilation for a positive fractional scale factor | Enlarging/dilating a shape by a positive fractional scale factor
"Year 10, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Enlarge a shape by a negative scale factor,376;377,Enlargement/dilation of shapes by a negative scale factor | Describing enlargements/dilations for a negative scale factor
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Identify similar shapes,291,Properties of similar shapes
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Work out missing sides and angles in a pair given similar shapes,292,Determine unknown lengths in similar shapes
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Use parallel line rules to work out missing angles,262,"Alternate, corresponding and co-interior angles"
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Establish a pair of triangles are similar,291,Properties of similar shapes
"Year 10, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Explore areas of similar shapes,324,"Relationship between scale factors of length, area and volume"
"Year 10, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Explore volumes of similar shapes,324,"Relationship between scale factors of length, area and volume"
"Year 10, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Solve mixed problems involving similar shapes,324,"Relationship between scale factors of length, area and volume"
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Understand the difference between congruence and similarity,290;291,Properties of congruent shapes | Properties of similar shapes
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Understand and use conditions for congruent triangles,471,"Proving triangle congruence using SSS, SAS, ASA and RHS"
"Year 10, GCSE Higher",Autumn,Similarity,"Congruence, Similarity and Enlargement",Prove a pair of triangles are congruent,471,"Proving triangle congruence using SSS, SAS, ASA and RHS"
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,Explore ratio in similar right-angled triangles,321;322,Trigonometry to determine side lengths in a right-angled triangle | Trigonometry to determine angles in a right-angled triangle
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,"Work fluently with the hypotenuse, opposite and adjacent sides",321;322,Trigonometry to determine side lengths in a right-angled triangle | Trigonometry to determine angles in a right-angled triangle
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,Use the tangent ratio to find missing side lengths,321,Trigonometry to determine side lengths in a right-angled triangle
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,Use the sine and cosine ratio to find missing side lengths,321,Trigonometry to determine side lengths in a right-angled triangle
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,"Use sine, cosine and tangent to find missing side lengths",321,Trigonometry to determine side lengths in a right-angled triangle
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,"Use sine, cosine and tangent to find missing angles",322,Trigonometry to determine angles in a right-angled triangle
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,Calculate sides in right-angled triangles using Pythagoras' Theorem,288;338,Pythagoras' theorem in 2D (excluding surds) | Pythagoras' Theorem with surds
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,Select the appropriate method to solve right-angled triangle problems,321;322,Trigonometry to determine side lengths in a right-angled triangle | Trigonometry to determine angles in a right-angled triangle
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Similarity,Trigonometry,Work with key angles in right-angled triangles,321;322;412,Trigonometry to determine side lengths in a right-angled triangle | Trigonometry to determine angles in a right-angled triangle | Exact trigonometric values
"Year 10, GCSE Higher",Autumn,Similarity,Trigonometry,Use trigonometry in 3-D shapes,411;470,Trigonometry in 3D shapes (right-angled only) | 3D shape problems involving non-right-angled trigonometry
"Year 10, GCSE Higher",Autumn,Similarity,Trigonometry,Use the formula 1/2 ab sinC to find the area of a triangle,467,Area of a triangle using two lengths and the angle between them
"Year 10, GCSE Higher",Autumn,Similarity,Trigonometry,Understand and use the sine rule to find missing lengths,465,Sine rule (Law of Sines)
"Year 10, GCSE Higher",Autumn,Similarity,Trigonometry,Understand and use the sine rule to find missing angles,465,Sine rule (Law of Sines)
"Year 10, GCSE Higher",Autumn,Similarity,Trigonometry,Understand and use the cosine rule to find missing lengths,466,Cosine rule (Law of Cosines)
"Year 10, GCSE Higher",Autumn,Similarity,Trigonometry,Understand and use the cosine rule to find missing angles,466,Cosine rule (Law of Cosines)
"Year 10, GCSE Higher",Autumn,Similarity,Trigonometry,Choosing and using the sine and cosine rules,465;466,Sine rule (Law of Sines) | Cosine rule (Law of Cosines)
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Understand the meaning of a solution,,
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Form and solve one-step and two-step equations,199;254,"Solving linear equations where the variable appears on one side of the equation only | Solving linear equations where the variable appears on one side of the equation only, including brackets"
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Form and solve one-step and two-step inequalities,339,Solving linear inequalities in one variable
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Show solutions to inequalities on a number line,339,Solving linear inequalities in one variable
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Interpret representations on number lines as inequalities,339,Solving linear inequalities in one variable
"Year 10, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Represent solutions to inequalities using set notation,457,Set builder notation
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Draw straight line graphs,267;273,Plotting a straight line from a table of values | Drawing a line from its equation
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Find solutions to equations using straight line graphs,421,Using graphs to count solutions and find approximate solutions to equations
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Represent solutions to single inequalities on a graph,456,"Inequalities in two variables, including their representation on a plane."
"Year 10, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Represent solutions to multiple inequalities on a graph,456,"Inequalities in two variables, including their representation on a plane."
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Form and solve equations with unknowns on both sides,257;259,Solving linear equations where the variable appears on both sides of the equation | Forming and solving linear equations from a given context (excluding angles)
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Form and solve inequalities with unknowns on both sides,340;342,Solving linear inequalities with one variable on both sides | Forming and solving linear inequalities from a given context
"Year 10, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Form and solve more complex equations and inequalities,257;340,Solving linear equations where the variable appears on both sides of the equation | Solving linear inequalities with one variable on both sides
"Year 10, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,"Solve quadratic equations by factorisation (also Foundation; Higher covers now, Core covers in Y11)",367,Solving quadratic equations by factorisation
"Year 10, GCSE Higher",Autumn,Developing Algebra,Equations and Inequalities,Solve quadratic inequalities in one variable,458,Solving quadratic inequalities
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Understand that equations can have more than one solution,,
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,"Determine whether a given (x,y) is a solution to a pair of linear simultaneous equations",276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of linear simultaneous equations by substituting a known variable,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of linear simultaneous equations by substituting an expression,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of linear simultaneous equations using graphs,275,Solving linear simultaneous equations/systems of equations using graphical methods
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of linear simultaneous equations by subtracting equations,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of linear simultaneous equations by adding equations,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Use a given equation to derive related facts,,
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of linear simultaneous equations by adjusting one equation,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of linear simultaneous equations by adjusting both equations,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Foundation, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Form a pair of linear simultaneous equations from given information,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Form and solve a pair of linear simultaneous equations from given information,276,Solving linear simultaneous equations/systems of equations using elimination or substitution
"Year 10, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,"Determine whether a given (x,y) is a solution to both a linear and quadratic equation",419,Solving non-linear simultaneous equations/systems of equations by substitution
"Year 10, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,"Solve a pair of simultaneous equations (one linear, one quadratic) using graphs",275;419,Solving linear simultaneous equations/systems of equations using graphical methods | Solving non-linear simultaneous equations/systems of equations by substitution
"Year 10, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,"Solve a pair of simultaneous equations (one linear, one quadratic) algebraically",419,Solving non-linear simultaneous equations/systems of equations by substitution
"Year 10, GCSE Higher",Autumn,Developing Algebra,Simultaneous Equations,Solve a pair of simultaneous equations involving a third unknown,486,Simultaneous equations/systems of equations involving 3 variables
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Angles and Bearings,Use cardinal directions and related angles,264,Bearings (excluding trigonometry)
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Angles and Bearings,Draw and interpret scale diagrams,283,Scale drawings including map scales
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Angles and Bearings,Understand and represent bearings,264,Bearings (excluding trigonometry)
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Angles and Bearings,Measure and read bearings,264,Bearings (excluding trigonometry)
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Angles and Bearings,Make scale drawings using bearings,264;283,Bearings (excluding trigonometry) | Scale drawings including map scales
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Angles and Bearings,Calculate bearings using angles rules,264,Bearings (excluding trigonometry)
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Angles and Bearings,Solve bearings problems using Pythagoras and trigonometry,264;321;322,Bearings (excluding trigonometry) | Trigonometry to determine side lengths in a right-angled triangle | Trigonometry to determine angles in a right-angled triangle
"Year 10, GCSE Higher",Spring,Geometry,Angles and Bearings,Solve bearings problems using the sine and cosine rules,469,Bearings problems involving non-right-angled trigonometry
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Working with Circles,Recognise and label parts of a circle,317;141,"Further terms in relation to circles, including chord and segment | Basic terms in relation to circles"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Working with Circles,Calculate fractional parts of a circle,211,Area or perimeter of simple fractions of circles
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Working with Circles,Calculate the length of an arc,318,Arc length of more general sectors
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Working with Circles,Calculate the area of a sector,319,Area of more general sectors
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Circle theorem: Angles at the centre and circumference,442,Circle theorems
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Circle theorem: Angles in a semicircle,442,Circle theorems
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Circle theorem: Angles in the same segment,442,Circle theorems
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Circle theorem: Angles in a cyclic quadrilateral,442,Circle theorems
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Working with Circles,Understand and use the volume of a cylinder and cone,233;405,"Volume of a cylinder | Volume of a pyramid, cone or sphere"
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Understand and use the volume of a sphere,405,"Volume of a pyramid, cone or sphere"
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Understand and use the surface area of a sphere,406,Surface area of a cone or sphere/hemisphere
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Understand and use the surface area of a cylinder and cone,234;406;408,Surface area of a cylinder | Surface area of a cone or sphere/hemisphere | Surface area of more complex compound 3D shapes
"Year 10, GCSE Higher",Spring,Geometry,Working with Circles,Solve area and volume problems involving similar shapes,324,"Relationship between scale factors of length, area and volume"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Vectors,Understand and represent vectors,372,Column vector notation
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Vectors,Use and read vector notation,372;472,Column vector notation | Converting a vector between component form and magnitude and direction form
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Vectors,Draw and understand vectors multiplied by a scalar,373;475,"Adding, subtracting and scaling column vectors | Solving vector problems by introduction of a scalar"
"Year 10, GCSE Higher",Spring,Geometry,Vectors,Draw and understand addition of vectors,373,"Adding, subtracting and scaling column vectors"
"Year 10, GCSE Higher",Spring,Geometry,Vectors,Draw and understand addition and subtraction of vectors,373,"Adding, subtracting and scaling column vectors"
"Year 10, GCSE Higher",Spring,Geometry,Vectors,Explore vector journeys in shapes,473,Vectors using variables
"Year 10, GCSE Foundation, GCSE Higher",Spring,Geometry,Vectors,Explore quadrilaterals using vectors,473,Vectors using variables
"Year 10, GCSE Higher",Spring,Geometry,Vectors,Understand parallel vectors,474,Parallel vectors and straight line proofs using vectors
"Year 10, GCSE Higher",Spring,Geometry,Vectors,Explore collinear points using vectors,474,Parallel vectors and straight line proofs using vectors
"Year 10, GCSE Higher",Spring,Geometry,Vectors,Use vectors to construct geometric arguments and proofs,474,Parallel vectors and straight line proofs using vectors
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Compare quantities using a ratio,224,Simplifying ratios and forming ratios from a given context
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Link ratios and fractions,226,"Relationship between fractions, percentages and ratio"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Share in a ratio (given total or one part),225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Use ratios and fractions to make comparisons,226,"Relationship between fractions, percentages and ratio"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Link ratios and graphs,270,Gradient of a line
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Solve problems with currency conversion,177,Exchange rates
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Link ratios and scales,283,Scale drawings including map scales
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Use and interpret ratios of the form 1:n and n:1,224,Simplifying ratios and forming ratios from a given context
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Solve 'best buy' problems,,
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Combine a set of ratios,227,Combining ratios and proportions into a single ratio
"Year 10, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Link ratio and algebra,227;464,Combining ratios and proportions into a single ratio | Algebraic techniques for ratio problems
"Year 10, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Ratio in area problems,324,"Relationship between scale factors of length, area and volume"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Ratio in volume problems,324,"Relationship between scale factors of length, area and volume"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Ratios and Fractions,Mixed ratio problems,225;227,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given | Combining ratios and proportions into a single ratio"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,"Convert and compare fractions, decimals and percentages",172;174,"Converting between any terminating decimal, fraction and percentage less than 100% | Converting between terminating decimals, fractions and percentages greater than 100%"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Work out percentages of amounts (with and without a calculator),130;219,"Calculating a simple percentage of an amount, using chunking | Percentage of an amount, using decimal multipliers"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Increase and decrease by a given percentage,220;221,"Value after a simple percentage change, using non-calculator methods | Value after a general percentage change, using decimal multipliers"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Express one number as a percentage of another,214,Determining what percentage one number is of another
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Calculate simple and compound interest,360;359,Financial maths (excluding compound interest) | Calculating values after compound percentage changes
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Repeated percentage change,359,Calculating values after compound percentage changes
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Find the original value after a percentage change,223,Reverse percentage problems using decimal multipliers
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Solve problems involving growth and decay,359,Calculating values after compound percentage changes
"Year 10, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,Understand iterative processes,440,General iterative processes
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Percentages and Interest,"Solve problems involving percentages, ratios and fractions",226,"Relationship between fractions, percentages and ratio"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,"Know how to add, subtract and multiply fractions",117;120,Adding and subtracting fractions with any denominator | Multiplying proper fractions with no simplifying
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Find probabilities using equally likely outcomes,248,Theoretical probabilities using counts
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Use the property that probabilities sum to 1,247,Probabilities using worded terms or placed on a number line between 0 and 1
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Using experimental data to estimate probabilities,251,"Experimental probabilities, expectation and bias"
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,"Find probabilities from tables, Venn diagrams and frequency trees",238;241;355,Two-way tables | Frequency trees | Probabilities from Venn diagrams of frequencies (no set notation)
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Construct and interpret sample spaces for more than one event,249,Sample space diagrams
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Calculate probability with independent events,353;463,Probability of independent and successive independent events (including tree diagrams) | Algebraic probability problems involving independent/dependent events
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Use tree diagrams for independent events,353,Probability of independent and successive independent events (including tree diagrams)
"Year 10, GCSE Foundation, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Use tree diagrams for dependent events,354,"Successive dependent events, i.e. sampling without replacement (including tree diagrams)"
"Year 10, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Construct and interpret conditional probabilities (Tree diagrams),357,Conditional probability (no set notation)
"Year 10, GCSE Higher",Spring,Proportions and Proportional Change,Probability,Construct and interpret conditional probabilities (Venn diagrams and two-way tables),357;356,Conditional probability (no set notation) | Probabilities from Venn diagrams of frequencies (using set notation)
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Understand populations and samples,345;348;349,Populations and censuses versus sampling | Simple random sampling | Non-random sampling
"Year 10, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct a stratified sample,350,Stratified sampling
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Primary and secondary data,346,Data collection methods (excluding experiments)
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret frequency tables and frequency polygons,235;315,Reading and interpreting ungrouped frequency tables | Frequency polygons
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret two-way tables,238,Two-way tables
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret line and bar charts (including composite bar charts),65;239,Bar charts and vertical line charts | Dual and stacked bar charts
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret pie charts,246,Pie charts with any proportion
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Criticise charts and graphs,,
"Year 10, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct histograms,314;401,Histograms of equal class width | Histograms and frequency density (unequal class widths)
"Year 10, GCSE Higher",Summer,Delving into Data,Delving into Data,Interpret histograms,314;401,Histograms of equal class width | Histograms and frequency density (unequal class widths)
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Find and interpret averages from a list,132;207,"Mean as an average | Mode, median, range from listed data"
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Find and interpret averages from a table,236;312,Mean from ungrouped frequency tables | Estimating the mean from grouped frequency tables
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret time series graphs,400,Time series and moving averages
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret stem-and-leaf diagrams,240,Stem-and-leaf diagrams
"Year 10, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret cumulative frequency diagrams,398,Cumulative frequency graphs
"Year 10, GCSE Higher",Summer,Delving into Data,Delving into Data,Use cumulative frequency diagrams to find measures,398,Cumulative frequency graphs
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Construct and interpret box plots,399;396,Box plots / box and whisker diagrams (excluding outliers) | Quartiles from discrete data
"Year 10, GCSE Foundation, GCSE Higher",Summer,Delving into Data,Delving into Data,Compare distributions using charts and measures,403,Comparing data sets using different representations
"Year 10, GCSE Higher",Summer,Delving into Data,Delving into Data,Compare distributions using complex charts and measures,403;402,"Comparing data sets using different representations | Understanding the shape of data, including skewness"
